playerId,displayName,id,name
835777,Tony Brooks-James,14465,"Brooks-James, Tony"
914372,Darrell Henderson Jr.,14087,"Henderson, Darrell"
880398,Tony Pollard,14085,"Pollard, Tony"
832080,Chris Herndon,13679,"Herndon, Chris"
563293,Chris Manhertz,12955,"Manhertz, Chris"
542871,Blake Bell,12213,"Bell, Blake"
944604,Rico Gafford,14760,"Gafford, Rico"
837503,Christian Blake,14342,"Blake, Christian"
727279,Demarcus Robinson,12785,"Robinson, Demarcus"
836104,Parris Campbell,14112,"Campbell, Parris"
916466,Devin Singletary,14080,"Singletary, Devin"
877784,Ty Johnson,14095,"Johnson, Ty"
884948,Bryce Love,14082,"Love, Bryce"
559264,David Fluellen,11894,"Fluellen, David"
861278,Tyler Conklin,13675,"Conklin, Tyler"
592268,Tyler Kroft,12212,"Kroft, Tyler"
604176,Tyler Higbee,12678,"Higbee, Tyler"
836116,Terry McLaurin,14109,"McLaurin, Terry"
658447,Zach Pascal,13488,"Pascal, Zach"
460830,Cole Beasley,10973,"Beasley, Cole"
824249,Duke Williams,12667,"Williams, Duke"
496083,Derek Carr,11644,"Carr, Derek"
830084,Keelan Doss,14317,"Doss, Keelan"
910852,Greg Dortch,14108,"Dortch, Greg"
503496,Josh Gordon,10960,"Gordon, Josh"
830860,Reggie Bonnafon,14435,"Bonnafon, Reggie"
911644,Collin Johnson,14853,"Johnson, Collin"
865567,Tyron Johnson,14117,"Johnson, Tyron"
788345,Chad Hansen,13183,"Hansen, Chad"
839009,Cameron Batson,13912,"Batson, Cameron"
266414,Darren Fells,11337,"Fells, Darren"
865803,Damion Ratley,13794,"Ratley, Damion"
914009,Riley Ridley,14103,"Ridley, Riley"
324216,Emmanuel Sanders,9918,"Sanders, Emmanuel"
910570,Dillon Mitchell,14129,"Mitchell, Dillon"
978579,Tee Higgins,14835,"Higgins, Tee"
658389,Patrick Ricard,13455,"Ricard, Patrick"
742382,Marquez Valdes-Scantling,13793,"Valdes-Scantling, Marquez"
912014,Darius Bradwell,15098,"Bradwell, Darius"
604908,Damiere Byrd,12464,"Byrd, Damiere"
607864,Brandin Cooks,11674,"Cooks, Brandin"
650914,Amari Cooper,12175,"Cooper, Amari"
728265,Chris Streveler,15060,"Streveler, Chris"
865649,Bryce Perkins,14792,"Perkins, Bryce"
878782,K.J. Hill,14851,"Hill, K.J."
877790,DJ Moore,13635,"Moore, D.J."
741314,Aaron Jones,13319,"Jones, Aaron"
944826,A.J. Brown,14104,"Brown, A.J."
607843,Marcus Mariota,12141,"Mariota, Marcus"
884013,Calvin Ridley,13629,"Ridley, Calvin"
884265,Darrell Stewart,15052,"Stewart, Darrell"
739424,Austin Hooper,12677,"Hooper, Austin"
618715,Tyrell Williams,12391,"Williams, Tyrell"
552586,MyCole Pruitt,12309,"Pruitt, MyCole"
246140,Matt Schaub,7480,"Schaub, Matt"
691583,Duke Johnson,12157,"Johnson, Duke"
1167356,Craig Reynolds,14727,"Reynolds, Craig"
386116,Taiwan Jones,10368,"Jones, Taiwan"
750702,Deon Yelder,13857,"Yelder, Deon"
943898,Cole McDonald,14794,"McDonald, Cole"
602241,DeVante Parker,12176,"Parker, DeVante"
839325,Travis Fulgham,14265,"Fulgham, Travis"
865801,Christian Kirk,13633,"Kirk, Christian"
878911,Andy Isabella,14121,"Isabella, Andy"
602096,Adam Humphries,12505,"Humphries, Adam"
562859,Diontae Spencer,14565,"Spencer, Diontae"
913541,Tavien Feaster,14819,"Feaster, Tavien"
933480,Rico Dowdle,14823,"Dowdle, Rico"
924424,Malcolm Perry,15022,"Perry, Malcolm"
543654,Le'Veon Bell,11192,"Bell, Le'Veon"
728328,Marcus Baugh,14517,"Baugh, Marcus"
464346,Mike Glennon,11152,"Glennon, Mike"
754412,Kendrick Bourne,13418,"Bourne, Kendrick"
922011,Tyrie Cleveland,15027,"Cleveland, Tyrie"
868199,Josh Allen,13589,"Allen, Josh"
606055,Matt LaCosse,12596,"LaCosse, Matt"
832098,David Njoku,13192,"Njoku, David"
879766,John Kelly,13619,"Kelly, John"
922017,La'Mical Perine,14806,"Perine, Lamical"
820734,Samaje Perine,13133,"Perine, Samaje"
607659,C.J. Anderson,11454,"Anderson, C.J."
679453,Ben Braunecker,12868,"Braunecker, Ben"
888731,Ben Ellefson,15088,"Ellefson, Ben"
748309,Nick Mullens,13968,"Mullens, Nick"
742470,Corey Clement,13136,"Clement, Corey"
739799,Gus Edwards,13850,"Edwards, Gus"
884549,Josh Adams,13611,"Adams, Josh"
846695,Khari Lee,12479,"Lee, Khari"
1053627,Dan Arnold,13880,"Arnold, Dan"
752062,Taylor Gabriel,11975,"Gabriel, Taylor"
913826,Byron Pringle,13863,"Pringle, Byron"
920809,Kelvin Harmon,14114,"Harmon, Kelvin"
820866,Braxton Berrios,13638,"Berrios, Braxton"
883459,Auden Tate,13642,"Tate, Auden"
553696,Josh Bellamy,11104,"Bellamy, Josh"
822367,Josh Reynolds,13168,"Reynolds, Josh"
835694,Patrick Laird,14612,"Laird, Patrick"
406457,Patrick DiMarco,11100,"DiMarco, Patrick"
592914,Devonta Freeman,11660,"Freeman, Devonta"
924261,Miles Sanders,14079,"Sanders, Miles"
922027,Brian Herrien,14814,"Herrien, Brian"
913170,Zack Moss,14798,"Moss, Zack"
732145,Derrick Henry,12626,"Henry, Derrick"
749136,Anthony Miller,13639,"Miller, Anthony"
691283,Damien Williams,11886,"Williams, Damien"
161355,Ryan Fitzpatrick,8062,"Fitzpatrick, Ryan"
728819,Ryan Finley,14068,"Finley, Ryan"
380960,Ryan Tannehill,10697,"Tannehill, Ryan"
922026,Mecole Hardman,14113,"Hardman, Mecole"
503184,Taysom Hill,13424,"Hill, Taysom"
1052000,Jeff Thomas,14866,"Thomas, Jeff"
874368,Omar Bayless,15038,"Bayless, Omar"
946582,Dwayne Haskins Jr.,14058,"Haskins, Dwayne"
916467,Harrison Bryant,14875,"Bryant, Harrison"
467405,Latavius Murray,11390,"Murray, Latavius"
944381,Benny LeMay,14829,"LeMay, Benny"
943841,James Robinson,14813,"Robinson, James"
831003,Darrius Shepherd,14330,"Shepherd, Darrius"
882776,Hakeem Butler,14106,"Butler, Hakeem"
917775,Earnest Edwards,15065,"Edwards, Earnest"
946094,Chase Claypool,14841,"Claypool, Chase"
750802,Jordan Howard,12634,"Howard, Jordan"
216263,Matt Ryan,9099,"Ryan, Matt"
824864,Alex McGough,13825,"McGough, Alex"
616337,Alex Tanney,10935,"Tanney, Alex"
456613,Mark Ingram II,10276,"Ingram, Mark"
832900,Chase Edmonds,13726,"Edmonds, Chase"
606629,Elijhaa Penny,13239,"Penny, Elijhaa"
835779,Royce Freeman,13617,"Freeman, Royce"
822038,Darrel Williams,13623,"Williams, Darrel"
602269,Demetrius Harris,11448,"Harris, Demetrius"
660151,Robert Tonyan,13427,"Tonyan, Robert"
744425,Hunter Henry,12676,"Henry, Hunter"
751855,Kyle Lauletta,13601,"Lauletta, Kyle"
879277,Ben DiNucci,15008,"DiNucci, Ben"
835082,Ito Smith,13768,"Smith, Ito"
741322,Rashard Higgins,12656,"Higgins, Rashard"
744595,Pharoh Cooper,12660,"Cooper, Pharoh"
837820,Dante Pettis,13634,"Pettis, Dante"
698227,Cooper Kupp,13164,"Kupp, Cooper"
400490,Golden Tate,9831,"Tate, Golden"
692660,Kalif Raymond,13066,"Raymond, Kalif"
461620,Marvin Jones Jr.,10738,"Jones, Marvin"
403060,Bilal Powell,10369,"Powell, Bilal"
922484,Travis Homer,14083,"Homer, Travis"
749635,Boston Scott,13814,"Scott, Boston"
830517,Christian McCaffrey,13130,"McCaffrey, Christian"
976251,Cam Akers,14799,"Akers, Cam"
448240,Travis Kelce,11244,"Kelce, Travis"
703015,Dare Ogunbowale,13148,"Ogunbowale, Dare"
840760,Marlon Mack,13234,"Mack, Marlon"
694041,Stefon Diggs,12186,"Diggs, Stefon"
1066765,Cole Kmet,14867,"Kmet, Cole"
1050026,Antony Auclair,13445,"Auclair, Antony"
503177,Zach Ertz,11247,"Ertz, Zach"
747906,John Ross III,13155,"Ross, John"
399579,Tyrod Taylor,10413,"Taylor, Tyrod"
835845,Khari Blasingame,14552,"Blasingame, Khari"
264725,Brian Hoyer,9714,"Hoyer, Brian"
821230,Rodney Smith,14809,"Smith, Rodney"
915066,Reggie Gilliam,15103,"Gilliam, Reggie"
457289,Terrelle Pryor Sr.,10500,"Pryor, Terrelle"
697295,Kenny Golladay,13277,"Golladay, Kenny"
690153,Cordarrelle Patterson,11225,"Patterson, Cordarrelle"
596417,Phillip Dorsett II,12188,"Dorsett, Phillip"
542896,Kenny Stills,11227,"Stills, Kenny"
884553,Miles Boykin,14125,"Boykin, Miles"
835861,Trent Sherfield,13893,"Sherfield, Trent"
878371,Joshua Kelley,14807,"Kelley, Joshua"
25347,Tom Brady,5848,"Brady, Tom"
267443,Adrian Peterson,8658,"Peterson, Adrian"
832473,Qadree Ollison,14097,"Ollison, Qadree"
1111478,Scottie Phillips,14824,"Phillips, Scottie"
606045,Josh Ferguson,12640,"Ferguson, Josh"
866041,Ty'Son Williams,15040,"Williams, Ty'Son"
911020,Sean McKeon,15097,"McKeon, Sean"
833687,Buddy Howell,13916,"Howell, Buddy"
866115,Devine Ozigbo,14096,"Ozigbo, Devine"
945633,DK Metcalf,14102,"Metcalf, DK"
696125,Amara Darboh,13166,"Darboh, Amara"
728374,Danny Etling,13824,"Etling, Danny"
823220,Mason Rudolph,13595,"Rudolph, Mason"
881697,Stephen Carlson,14488,"Carlson, Stephen"
933537,J.J. Taylor,14827,"Taylor, J.J."
397945,LeSean McCoy,9448,"McCoy, LeSean"
865565,Derrius Guice,13605,"Guice, Derrius"
944343,Alexander Mattison,14223,"Mattison, Alexander"
606516,Melvin Gordon III,12151,"Gordon, Melvin"
695408,C.J. Board,13878,"Board, C.J."
747895,Darrell Daniels,13396,"Daniels, Darrell"
923911,Noah Fant,14137,"Fant, Noah"
694135,Darius Jackson,12832,"Jackson, Darius"
749590,Victor Bolden,13375,"Bolden, Victor"
1050070,Krishawn Hogan,13370,"Hogan, Krishawn"
821389,Curtis Samuel,13157,"Samuel, Curtis"
866112,Stanley Morgan,14131,"Morgan, Stanley"
835749,Deebo Samuel,14136,"Samuel, Deebo"
691278,Sterling Shepard,12658,"Shepard, Sterling"
748755,DaeSean Hamilton,13649,"Hamilton, DaeSean"
746491,Zay Jones,13176,"Jones, Zay"
694641,Todd Gurley II,12150,"Gurley, Todd"
944025,Adrian Killins Jr.,14831,"Killins Jr., Adrian"
824080,Dalvin Cook,13128,"Cook, Dalvin"
915030,Darrynton Evans,14808,"Evans, Darrynton"
553705,Senorise Perry,11964,"Perry, Senorise"
1166990,Jason Moore,14545,"Moore, Jason"
