mfl_id,mfl_name,first_last,standard_name,pos,team,draft_year,college,stats_id,sportsdata_id,espn_id,cbs_id,nfl_id
14464,"Graham, Jaeden",Jaeden Graham,jaeden graham,TE,ATL,2018,Yale,31749,97e65d1d-c738-4812-840e-030f0242bc29,,,
14465,"Brooks-James, Tony",Tony Brooks-James,tony brooksjames,RB,ATL,2019,Oregon,32559,fc793c8d-b29d-46f8-8f89-8e2964ff4480,,3117135,
14481,"Bryant, Ventell",Ventell Bryant,ventell bryant,WR,CAR,2019,Temple,32556,85325fdc-da47-4992-af60-a20d0b1ec980,,3117108,
14486,"Montgomery, D.J.",D.J. Montgomery,dj montgomery,WR,NYJ,2019,Austin Peay,32283,021f2c32-0876-4db3-9605-e829f7d449d7,,3116788,
14488,"Carlson, Stephen",Stephen Carlson,stephen carlson,TE,CLE,2019,Princeton,32273,013477a2-0271-4441-a0af-9bc25924a2f6,,3116783,
14499,"Benson, Trinity",Trinity Benson,trinity benson,WR,DEN,2019,East Central,32189,40a9d668-269b-48ec-be2f-128d89aeb20f,,3116706,
14510,"Anderson, Drew",Drew Anderson,drew anderson,QB,FA,2019,Murray State,32152,17c30647-39b9-46c2-9ba5-599f6007fc71,,3117010,
14517,"Baugh, Marcus",Marcus Baugh,marcus baugh,TE,WAS,2018,Ohio State,31478,14683736-9d8f-4e99-86c4-a778d343569c,,,
14533,"Taylor, Malik",Malik Taylor,malik taylor,WR,GB,2019,Ferris State,32488,228b0dd8-3f75-4b60-90d1-59036858b8ae,,3117089,
14545,"Moore, Jason",Jason Moore,jason moore,WR,LAC,2019,Findlay,32547,8346e196-ce56-4cfd-8438-f3c39131b327,,3117063,
14548,"Bachman, Alex",Alex Bachman,alex bachman,WR,NYG,2019,Wake Forest,32124,427038d8-ff50-4d6e-a088-4fdb8bc2f0e3,,2186388,
14549,"Webster, Nsimba",Nsimba Webster,nsimba webster,WR,LAR,2019,Eastern Washington,32137,bbc981ff-556b-4346-abea-f6efc0f94001,,3117157,
14551,"Irwin, Trenton",Trenton Irwin,trenton irwin,WR,CIN,2019,Stanford,32438,ee79ad2e-353a-40cd-9344-c9d84f7e4b63,,3117052,
14552,"Blasingame, Khari",Khari Blasingame,khari blasingame,RB,TEN,2019,Vanderbilt,32140,bd12a2c0-e6ce-460b-9f09-27b75c306608,,2139744,
14554,"Hollins, Alexander",Alexander Hollins,alexander hollins,WR,CLE,2019,Eastern Illinois,32143,d0780152-5d3e-4add-99bd-e330c258df10,,3116816,
14555,"Olszewski, Gunner",Gunner Olszewski,gunner olszewski,WR,NE,2019,Bemidji State,32612,625a1777-dd9a-48c6-b512-c450b0914450,,3117210,
14558,"Harris, Deonte",Deonte Harris,deonte harris,WR,NO,2019,Assumption,32398,8f1147cb-3040-4128-b113-5813816241ec,,3116892,
14560,"Wesley, Alex",Alex Wesley,alex wesley,WR,FA,2019,Northern Colorado,32243,0eb7966b-01b7-40b0-bb2b-9d6de58bbd95,,2142830,
14561,"Smith, Jeff",Jeff Smith,jeff smith,WR,NYJ,2019,Boston College,32533,767b1112-c77a-4a58-89b4-30f1ffa2a497,,2185927,
